shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint
-1.256676975880758,-1.3906067323735734,-1.5741631984710693,-1.5918928585448207,1.5632892847061157,0.26625245809555054
-0.5652654806720179,-0.9555955690196534,-2.0073702335357666,-1.6544867954649867,1.2357885837554932,1.3110065460205078
-0.016293827687398732,-0.9189046186259766,-2.1621463298797607,-2.092179914514059,0.970561683177948,2.300398111343384
0.04276912286877632,-1.3488934350064774,-2.1554183959960938,-1.8876244030394496,1.0348951816558838,2.5961897373199463
0.11395947635173798,-1.6046301327147425,-2.154262065887451,-1.993600984612936,1.0002987384796143,2.7354886531829834
-0.15806752840151006,-2.0213591061034144,-1.6898398399353027,-2.1367064915099085,1.0104496479034424,2.829451084136963
-0.40709048906435186,-2.3264743290343226,-1.1908693313598633,-2.3339482746519984,1.006677508354187,2.8463070392608643
-0.7189787069903772,-2.5025412044920863,-0.7122170925140381,-2.406829973260397,1.240209698677063,2.952301502227783
-0.8595173994647425,-2.7713400326170863,-0.25008201599121094,-2.5816179714598597,1.373030424118042,3.003662586212158
-1.03502065340151,-2.750385900537008,-0.22373294830322266,-2.5754171810545863,1.4693241119384766,3.092805862426758
-1.327432934437887,-2.7499457798399867,-0.10515213012695312,-2.5246416531004847,1.650231122970581,3.3630685806274414
-1.334221665059225,-2.8423787556090296,-0.10461748391389847,-2.4990726910033167,1.7686645984649658,3.332646608352661
-1.6490314642535608,-2.8417450390257777,-0.10467267036437988,-2.5232883892455042,2.1013214588165283,3.609623432159424
-1.8619816938983362,-2.8427030048766078,-0.10478772222995758,-2.5335275135436,2.3021080493927,3.6819019317626953
-2.1006386915790003,-2.845253129998678,-0.10485246777534485,-2.5839535198607386,2.4447643756866455,3.686184883117676
-2.4618869463550013,-2.8059994182982386,-0.10484053194522858,-2.6965400181212367,2.52004075050354,3.686722755432129
-2.4354682604419153,-2.2266413174071253,-1.5419038534164429,-1.8423248730101527,2.7388980388641357,3.6649904251098633
-2.6023176352130335,-1.971940656701559,-2.1263246536254883,-1.7086340389647425,2.9537622928619385,3.6634368896484375
-2.5517941156970423,-1.6294647655882777,-1.9150580167770386,-1.5977946720519007,2.607848644256592,4.243284702301025
-2.1216591040240687,-1.9867311916747035,-1.9393287897109985,-1.1553002756885071,2.610391139984131,4.325434684753418
-2.057373348866598,-2.134453912774557,-1.7505929470062256,-1.156015471821167,2.6145362854003906,4.325743675231934
-2.0579641501056116,-1.57641663173818,-2.2308902740478516,-0.7488878530314942,2.3040928840637207,5.198031902313232
-2.1656420866595667,-1.2636841100505372,-2.2482681274414062,-1.159074531202652,2.385390520095825,5.189614772796631
-1.836294953023092,-1.297147349720337,-1.9827384948730469,-1.1961466831019898,2.108377456665039,5.364171028137207
-1.4486654440509241,-1.3699253362468262,-1.7591910362243652,-1.3667664539865036,1.9016668796539307,5.8318986892700195
-1.2027695814715784,-1.4635861825994034,-1.6480381488800049,-1.4788635608604928,1.60112464427948,6.206371784210205
-1.9384444395648401,-1.8507586918272914,-1.423707365989685,-1.4671448108604928,2.1985485553741455,4.501845836639404
-1.6914361158954065,-2.216400285760397,-0.6093039512634277,-2.0803266964354457,1.943833589553833,3.9164414405822754
-1.3218501249896448,-2.2483302555479945,-0.609004020690918,-2.133486887017721,1.6981186866760254,3.3035566806793213
-0.7981184164630335,-2.1884190044798792,-0.5209510326385498,-2.4583922825255335,1.3527934551239014,2.6788365840911865
-0.384467903767721,-1.753794332543844,-1.3490023612976074,-2.2009812794127406,1.1514745950698853,2.226736068725586
-0.2395108381854456,-1.1974134606174012,-1.9616150856018066,-1.9145685635008753,0.982223629951477,2.2004265785217285
